,Team,numGolds
1,Algeria,5
2,Amateur Athletic Association,5
3,Ancora,4
4,Angelita,12
5,Argentina,91
6,Armenia,2
7,Aschenbrodel,4
8,Atalanta Boat Club-1,2
9,Atlanta,9
10,Australasia,20
11,Australia,342
12,Australia-1,2
13,Austria,95
14,Austria-1,12
15,Azerbaijan,7
16,Baby-1,1
17,Bahamas,12
18,Bahrain,1
19,Barrenjoey,3
20,Beatrijs III-1,3
21,Belarus,24
22,Belgium,94
23,Belgium-1,1
24,Bera,5
25,Bissbi,4
26,Bona Fide,3
27,Bonaparte,1
28,Brazil,103
29,Brazil-1,6
30,Bucintoro Venezia,8
31,Bucintoro Venezia-1,3
32,Bulgaria,54
33,Burundi,1
34,Cameroon,20
35,Camille,1
36,Canada,422
37,Canada-1,16
38,Carabinier-15,1
39,Century Boat Club-1,4
40,Cercle de l'Aviron Roubaix-4,5
41,Chile,3
42,China,308
43,China-1,28
44,China-2,14
45,Chinese Taipei,3
46,Cicely-1,1
47,Cincinnati Archers,4
48,Cobweb-1,5
49,Colombia,5
50,Complex II,4
51,Costa Rica,1
52,Cote d'Ivoire,1
53,Croatia,58
54,Cuba,164
55,Czech Republic,123
56,Czechoslovakia,81
57,Denmark,168
58,Denmark/Sweden,6
59,Deutscher Schwimm Verband Berlin,4
60,Devon and Somerset Wanderers,12
61,Dominican Republic,3
62,Dormy-1,3
63,East Germany,369
64,East Germany-1,24
65,East Germany-2,4
66,Ecuador,1
67,Edelweiss II-1,3
68,Egypt,7
69,Eleda,7
70,Elisabeth V,3
71,Elvis Va,1
72,England-1,11
73,Esterel-1,2
74,Estonia,13
75,Ethiopia,22
76,Fantlet-7,1
77,Femur-1,1
78,Fiji,13
79,Finland,198
80,Foxhunters Hurlingham,5
81,France,455
82,France-1,4
83,France-3,2
84,Galt Football Club,13
85,Gem,2
86,Georgia,8
87,"Germania Ruder Club, Hamburg-2",5
88,Germany,1235
89,Germany-1,28
90,Germany-2,14
91,Great Britain,545
92,Great Britain-1,20
93,Great Britain-2,4
94,Great Britain/Germany,2
95,Greece,42
96,Grenada,1
97,Gyrinus-1,6
98,Heira II,9
99,Hera-1,10
100,Heroine,4
101,Hilarius,2
102,Hong Kong,1
103,Hungary,432
104,India,138
105,Individual Olympic Athletes,1
106,Indonesia,7
107,Indonesia-1,4
108,Iran,18
109,Ireland,9
110,Irene,5
111,Israel,1
112,Italia,6
113,Italy,555
114,Italy-1,14
115,Jamaica,38
116,Japan,247
117,Jest,2
118,Jo,3
119,Jordan,1
120,Jupiter,2
121,Kathleen,2
122,Kazakhstan,20
123,Kenya,34
124,Kitty-1,8
125,Kosovo,1
126,Kullan,3
127,L'Aile VI,6
128,Lalage,5
129,"Large boat, Central Naval Prep School ""Poros""-1",17
130,Latvia,3
131,Leander Club #1-1,2
132,Leander Club-1,18
133,Lerina,3
134,Liechtenstein,2
135,Lithuania,6
136,Llanoria,11
137,London City Police-1,8
138,Ludwigshafener Ruderverein,5
139,Luxembourg,4
140,Mac Miche,3
141,Magda IX,10
142,Magdalen College Boat Club-1,4
143,"Marinai della nave da guerra ""Varese""",7
144,Merope,2
145,Mexico,30
146,Milwaukee Athletic Club-1,5
147,Minerva Amsterdam,3
148,Minotaur,3
149,Mongolia,2
150,Morocco,6
151,Mosk II,7
152,Mozambique,1
153,Nepal,1
154,Netherlands,277
155,New York Athletic Club,5
156,New York Athletic Club #1-1,4
157,New York Athletic Club-1,7
158,New Zealand,85
159,Nigeria,23
160,Nirefs,3
161,Norna,4
162,North Korea,16
163,Norway,299
164,Nrnberg,1
165,Nykjbings paa Falster,5
166,Olle,6
167,Oranje,3
168,"Osborne Swimming Club, Manchester",7
169,Pakistan,42
170,Pan,6
171,Panama,1
172,Pandora,2
173,Peru,1
174,"Philadelphia Turngemeinde, Philadelphia",6
175,Poland,117
176,Portugal,4
177,Potomac Archers,4
178,Puerto Rico,1
179,Roehampton-1,4
180,Romania,161
181,Rush V,3
182,Russia,1446
183,Russia-1,22
184,Russia-2,2
185,Satchmo,1
186,Scotia,6
187,Seawanhaka Boat Club-1,2
188,Serbia,15
189,Serbia and Montenegro,12
190,Sif,4
191,Sildra-1,4
192,Singapore,1
193,Sirene,2
194,Slaghoken II,3
195,Slovakia,15
196,Slovenia,8
197,South Africa,32
198,South Korea,211
199,South Korea-1,6
200,South Korea-2,4
201,Soviet Union,1058
202,Soviet Union-1,22
203,Spain,108
204,Spain-2,2
205,Suriname,1
206,Sweden,451
207,Swift,2
208,Switzerland,144
209,Switzerland-1,20
210,Switzerland-2,8
211,Syria,1
212,Taifun,5
213,Tajikistan,1
214,Thailand,9
215,Tornado,2
216,Trinidad and Tobago,7
217,Tunisia,3
218,Turkey,40
219,Uganda,2
220,Ukraine,47
221,Unified Team,123
222,Unified Team-1,4
223,Union des Socits Franais de Sports Athletiques,17
224,United Arab Emirates,1
225,USA,2529
226,United States-1,38
227,United States-2,17
228,Upton Park FC,11
229,Uruguay,31
230,Uzbekistan,10
231,Venezuela,2
232,Vesper Boat Club,18
233,Vietnam,1
234,Wannsee,2
235,West Germany,155
236,West Germany-1,2
237,West Germany-2,2
238,Western Golf Association-1,10
239,White Lady,3
240,Winnipeg Shamrocks-1,12
241,Yugoslavia,130
242,Zimbabwe,17